name,city,country
Posey Field,Haleyville,United States
Hallock Municipal Airport,Hallock,United States
Hampton Municipal Airport,Hampton,United States
Harihar Airport,Harihar,India
Harper Municipal Airport,Harper,United States
Ohio County Airport,Hartford,United States
Hartselle-Morgan County Regional Airport,Hartselle,United States
Dacy Airport,Harvard,United States
Haskell Airport,Haskell,United States
Hässleholm Bokeberg Airfield,Hässleholm,Sweden
Hattfjelldal Airfield,Hattfjelldal,Norway
Havana Regional Airport,Havana,United States
Hawkesbury (East) Airport,Hawkesbury,Canada
Hawkinsville Pulaski County Airport,Hawkinsville,United States
Hazel Green Airport,Hazel Green,United States
Hazelton Municipal Airport,Hazelton,United States
Seeley Lake Field,Hazelton,Canada
Hazyview Airport,Hazyview,South Africa
Hebron Municipal Airport,Hebron,United States
Hella Airport,Hella,Iceland
Helmet Airport,Helmet,Canada
Pullenshope Hendrina Airport,Hendrina,South Africa
RAF Henlow,Henlow,United Kingdom
Henning Municipal Airport,Henning,United States
Hereford Municipal Airport,Hereford,United States
Herington Regional Airport,Herington,United States
Herman Municipal Airport,Herman,United States
Herrljunga Airfield,Herrljunga,Sweden
Albert J Lindberg Airport,Hessel,United States
Hiawatha Municipal Airport,Hiawatha,United States
Wilson's Airport,Hickory,United States
Highland-Winet Airport,Highland,United States
Hill City-Quadna Mountain Airport,Hill City,United States
Hillman Airport,Hillman,United States
Joshua Sanford Field,Hillsboro,United States
Hilltop Lakes Airport,Hilltop Lakes,United States
Hite Airport,Hite,United States
Senica Airfield,Hlboké,Slovakia
Hobart Sky Ranch Airport,Hobart,United States
Thorny Bush Game Lodge Airport,Hoedspruit,South Africa
Paul Bridges Field,Hohenwald,United States
Holdenville Municipal Airport,Holdenville,United States
Brewster Field,Holdrege,United States
Park Township Airport,Holland,United States
Holly Springs Marshall County Airport,Holly Springs,United States
Hořice Airfield,Holovousy,Czech Republic
Holtville Airport,Holtville,United States
RAF Mona,Holyhead Island,United Kingdom
Richards Field,Homestead,United States
Ford Island Naval Auxiliary Landing Field,Honolulu,United States
Fulda-Jossa Airfield,Hosenfeld,Germany
Houston Airport,Houston,Canada
Crosland Moor Airfield,"Huddersfield, West Yorkshire",United Kingdom
Hudson Bay Airport,Hudson Bay,Canada
Humboldt Municipal Airport,Humboldt,United States
Humboldt Municipal Airport,Humboldt,United States
Membury Airfield,"Hungerford, Berkshire",United Kingdom
Huntsville Municipal Airport,Huntsville,United States
Hinde Airport,Huron,United States
Chikwenya Game Lodge Airstrip,Hurungwe,Zimbabwe
Mana Pools Airport,Hurungwe,Zimbabwe
Hutchinson Municipal Butler Field,Hutchinson,United States
Hwange (Town) Airport,Hwange,Zimbabwe
Ida Grove Municipal Airport,Ida Grove,United States
Idre Airport,Idre,Sweden
Ifran Airport,Ifran,Morocco
Ihtiman Airfield,Ihtiman,Bulgaria
Illesheim Army Heliport,Illesheim,Germany
Ilu Airport,Ilu,Indonesia
Imeno Field,Imeno,Slovenia
Creech Air Force Base,Indian Springs,United States
Inhaca Airport,Inhaca,Mozambique
Interlaken Air Base,Interlaken,Switzerland
Ione Municipal Airport,Ione,United States
Eagle's Nest Airport,Ione,United States
Isla Martin Garcia Airport,Isla Martin Garcia,Argentina
Isla San Felix Airport,Isla San Felix,Chile
Henry's Lake Airport,Island Park,United States
Meaux-Esbly Airfield,"Isles-lès-Villenoy, Seine-et-Marne",France
Paris Issy-les-Moulineaux Heliport,"Issy-les-Moulineaux, Hauts-de-Seine",France
Aeroclube de Itapeva Airport,Itapeva,Brazil
Fazenda São Marcos Airport,Itapeva,Brazil
Itararé Airport,Itararé,Brazil
Doutor José Augusto de Arruda Botelho Airport,Itirapina,Brazil
Francisco Vilela do Amaral Airport,Itumbiara,Brazil
Ituna Airport,Ituna,Canada
Ituverava Airport,Ituverava,Brazil
Iuka Airport,Iuka,United States
Jackson Municipal Airport,Jackson,United States
Melody Ranch Airport,Jackson,United States
Chemnitz/Jahnsdorf Airfield,Jahnsdorf,Germany
Jales Airport,Jales,Brazil
Jamestown Municipal Airport,Jamestown,United States
Hubert Wilkins Airstrip,Jamestown,Australia
John Nichols Field Airport,Jamul,United States
Janvier Airport,Janvier,Canada
Jao Airport,Jao Camp,Botswana
Iron Bridge Mine Airport,Japal Camp,Australia
Jasper Airport,Jasper,Canada
Jefferson Municipal Airport,Jefferson,United States
Jena Airport,Jena,United States
Jinhae Air Base,Jinhae,South Korea
Santa Terezinha Airport,Joaçaba,Brazil
Joigny Airfield,"Joigny, Yonne",France
Murphy Field,Jonesborough,United States
Lee County Airport,Jonesville,United States
Jonesville Airport,Jonesville,United States
Jordan Airport,Jordan,United States
Jurien Bay Airport,Jurien Bay,Australia
Propwash Airport,Justin,United States
Clear Creek Ranch Airport,Kanab,United States
Bielsko-Biała Kaniów Airfield,Kaniów,Poland
Kapfenberg Airfield,Kapfenberg,Austria
Solomon Airport,Karijini National Park,Australia
Kashikishi Airport,Kashikishi,Zambia
Emsdale Airport,Katrine,Canada
Katsina Airport,Katsina,Nigeria
Panda Airport,Kaunakakai,United States
RAF Keevil,Keevil,United Kingdom
Kenieba Airport,Kenieba,Mali
Twin Bridges Airport,Ketchum,United States
Kichwa Tembo Airport,Kichwa Tembo,Kenya
Masai Mara Airport,Kichwa Tembo,Kenya
Killarney Municipal Airport,Killarney,Canada
Cockatoo Island Airport,Kimbolton,Australia
Dean River Airport,Kimsquit Valley,Canada
Old Kingsbury Aerodrome,Kingsbury,United States
Wolf Creek Airport,Kingston,United States
Kingston Airport,Kingston,United States
Kirby Lake Airport,Kirby Lake,Canada
Kirkfield / Balsam Lake Airfield,Kirkfield,Canada
RAF Kirknewton Air Base,Kirknewton,United Kingdom
Kiskunfélegyháza Airfield,Kiskunfélegyháza,Hungary
Kiskunlacháza Airfield,Kiskunlacháza,Hungary
Kitimat Airport,Kitimat,Canada
Silver City Airport,Kluane Lake,Canada
Knoxville Municipal Airport,Knoxville,United States
Glenndale Airport,Kokomo,United States
Sömmerda-Dermsdorf Airfield,Kölleda,Germany
Kosibaai Airport,Kosi Bay,South Africa
Hawthorne Field,Kountze/Silsbee,United States
Pobiednik Wielki Airfield,Kraków,Poland
Krefeld-Egelsberg Airfield,Krefeld,Germany
Freeway Airport,Kromdraai,South Africa
Kroměříž Airfield,Kroměříž,Czech Republic
Simpang Airport,Kuala Lumpur,Malaysia
Kuhmo Airfield,Kuhmo,Finland
L'Aquila–Preturo Airport,L'Aquila,Italy
La Grande/Union County Airport,La Grande,United States
Matanza Airport,La Matanza,Argentina
Shank N Bank Airport,La Ward,United States
Mecatillo Airport,La Yesca,Mexico
Little Goose State Airport,LaCrosse,United States
Laguna San Rafael Airport,Laguna San Rafael,Chile
Lahti Vesivehmaa Airfield,Lahti,Finland
Laichingen Jakob Laur Airfield,Laichingen,Germany
Cannon Creek Airpark,Lake City,United States
Lake Grace Airport,Lake Grace,Australia
Placid Lakes Airport,Lake Placid,United States
Lake Village Municipal Airport,Lake Village,United States
Lakefield Airport,Lakefield,Australia
Lamesa Municipal Airport,Lamesa,United States
Lamoni Municipal Airport,Lamoni,United States
Kings Land O' Lakes Airport,Land O' Lakes,United States
Sollefteå/Långsele Airfield,Långsele,Sweden
Zangger Vintage Airpark,Larchwood,United States
Larned Pawnee County Airport,Larned,United States
Suburban Airport,Laurel,United States
Laurie River Airport,Laurie River,Canada
Hangar Haciendas Airpark,Laveen,United States
Le Plessis-Belleville Airfield,Le Plessis-Belleville,France
Lebel-sur-Quevillon Airport,Lebel-sur-Quévillon,Canada
RAF Leconfield,Leconfield,United Kingdom
Leesville Airport,Leesville,United States
Beltzville Airport,Lehighton,United States
Grayson County Airport,Leitchfield,United States
Yolanda Penteado Airport,Leme,Brazil
Terre-de-Haut Airport,Les Saintes,Guadeloupe
Bjorli Airfield,Lesja,Norway
Lesnovo Airfield,Lesnovo,Bulgaria
Hancock County-Ron Lewis Field,Lewisport,United States
Franklin Wilkins Airport,Lexington,United States
McCaslin Airport,Lexington,United States
Lézignan-Corbières Airfield,Lézignan-Corbières,France
Libby Airport,Libby,United States
Likely Airport,Likely,Canada
Lillo Airfield,Lillo,Spain
Limburg-Elz Airfield,Limburg an der Lahn,Germany
Limington Harmon Airport,Limington,United States
Lincoln Municipal Airport,Lincoln,United States
Linden Airport,Linden,Canada
Listowel Airport,Listowel,Canada
Little Churchill River / Dunlop's Fly-In Lodge Airport,Little Churchill River,Canada
Littlefield Municipal Airport,Littlefield,United States
Bowman Field,Livermore Falls,United States
Llanada Grande Airport,Llanada Grande,Chile
Wayne Wonderland Airport,Loa,United States
Lobos Airport,Lobos,Argentina
Slovenske Konjice Airfield,Loče,Slovenia
Mallards Landing Airport,Locust Grove,United States
Logan County Airport,Logan,United States
Logansport Cass County Airport,Logansport,United States
Lommis Airfield,Lommis,Switzerland
Londolozi Airport,Londolozi,South Africa
Comanche Ridge Ranch Airport,London,United States
Villa Portales Airport,Lonquimay,Chile
Helmuth Baungarten Airport,Lontras,Brazil
Räyskälä Airfield,Loppi,Finland
Louis Trichardt Airport,Louis Trichardt,South Africa
Flying V Ranch Airport,Louise,United States
Loup City Municipal Airport,Loup City,United States
Aerodromo da Lousã,Lousã,Portugal
Luangwa Airport,Luangwa,Zambia
Reese Airpark,Lubbock,United States
Wrocław-Szymanów Airfield,Lubięcin,Poland
Luján Airport,Lujan,Argentina
Lumbo Airport,Lumbo,Mozambique
Lund Airfield,Lund,Sweden
Lüneburg Airfield,Lüneburg,Germany
Bruntingthorpe Aerodrome,"Lutterworth, Leicestershire",United Kingdom
Lost Creek Airport,Luzerne,United States
Lydenburg Airport,Lydenburg,South Africa
Caledonia County Airport,Lyndonville,United States
Macklin Airport,Macklin,Canada
Macon Municipal Airport,Macon,United States
Madill Municipal Airport,Madill,United States
Woodland Airpark,Magalang,Philippines
Magdalena Airport,Magdalena,United States
Magnolia Municipal Airport / Ralph C Weiser Field,Magnolia,United States
Makale Airport,Makale-Celebes Island,Indonesia
La Axarquía-Leoni Benabu Airfield,Málaga,Spain
Malin Airport,Malin,United States
Manavgat Airport,Manavgat,Turkey
Kumköy Blue Sky Airport,Manavgat,Turkey
Rossettie Airport,Manchester,United States
Manchester Municipal Airport,Manchester,United States
Mangrove Mountain Airport,Mangrove Mountain,Australia
Manila Airport,Manila,United States
Manitowish Waters Airport,Manitowish Waters,United States
Santee Cooper Regional Airport,Manning,United States
Manston Air Base,Manston,Oman
Gustavo Marambio Airport,Marambio Base,Antarctica
Marathon Kotroni Navy Helicopter Base,Marathon,Greece
Marble Hall Airport,Marble Hall,South Africa
Marianna/Lee County Airport Steve Edwards Field,Marianna,United States
Mariánské Lázně Airfield,Mariánské Lázně,Czech Republic
Maricá Airport,Maricá,Brazil
McGehee Catfish Restaurant Airport,Marietta,United States
Zuehl Airport,Marion,United States
Marlin Airport,Marlin,United States
Marrupa Airport,Marrupa,Mozambique
Searcy County Airport,Marshall,United States
Sunrise Skypark Airport,Marsing,United States
Martin Airfield,Martin,Slovakia
Mejametalana Airbase,Maseru,Lesotho
Massalengo Airfield,Massalengo (LO),Italy
Delta Condor Airfield,Massarosa (LU),Italy
Armando Natali Airport,Matão,Brazil
Engineer Manuel Moreno Torres National Airport,Matehuala,Mexico
Desert Aire Regional Airport,Mattawa,United States
Sioux County Regional Airport,Maurice,United States
Isedor Iverson Airport,Mc Gregor,United States
Upton County Airport,McCamey,United States
McGehee Municipal Airport,McGehee,United States
Frontier Airstrip,Mead,United States
Meade Municipal Airport,Meade,United States
Melton Airport,Melton,Australia
Melville Municipal Airport,Melville,Canada
Memphis Memorial Airport,Memphis,United States
Mercedes Airport,Mercedes,Argentina
Merrill Municipal Airport,Merrill,United States
Metter Municipal Airport,Metter,United States
Middle Bass Island Airport,Middle Bass Island,United States
Midway Airport,Midway,Canada
Żar Airfield,Międzybrodzie  Żywieckie,Poland
Milaca Municipal Airport,Milaca,United States
Fuller Airport,Milford,United States
Millau-Larzac Airfield,Millau/Larzac,France
Millen Airport,Millen,United States
Miller Municipal Airport,Miller,United States
Ona Airpark,Milton,United States
Aérodrome de Mimizan,Mimizan,France
Pioneer Village Field,Minden,United States
Borovaya Airfield,Minsk,Belarus
Oscoda County/Dennis Kauffman Memorial Airport,Mio,United States
Pourvoirie Mirage Aerodrome,Mirage Lodge,Canada
Mitchell Plateau Airport,Mitchell Plateau,Australia
Mittagong Airport,Mittagong,Australia
San Antonio Airport,Mitu,Colombia
Alhos Vedros Aerodrome,Moita,Portugal
Skydive Oregon Airport,Molalla,United States
Molson Lake Airport,Molson Lake,Canada
Giancarlo Filippi Airfield,Mondovì (CN),Italy
Pittsburgh-Monroeville Airport,Monroeville,United States
Montagnana Airfield,Montagnana (PD),Italy
Pista do Monte do Lago,Montargil,Portugal
Kong Airfield,Monte Marenzo (LC),Italy
Fly Roma Airfield,Montecompatri (RM),Italy
Cesare Rossi Airfield,Montegiorgio (AP),Italy
Montenegro Airport,Montenegro,Brazil
Dr. C P Savage Sr. Airport,Montezuma,United States
Moomba Airport,Moomba,Australia
Mooreland Municipal Airport,Mooreland,United States
Miller Air Park,Mooresville,United States
Moose Lake Carlton County Airport,Moose Lake,United States
Old Morehead-Rowan County Airport,Morehead,United States
Morehead-Rowan County Clyde A. Thomas Regional Airport,Morehead,United States
Morgantown Airport,Morgantown,United States
Eshott Airfield,"Morpeth, Northumberland",United Kingdom
Mostardas Airport,Mostardas,Brazil
Mostje Lendava Airfield,Mostje,Slovenia
Stichovice Pluml Airfield,Mostkovice,Czech Republic
Morey's Airport,Motley,United States
Spence Airport,Moultrie,United States
Warren Field,Mount Brydges,Canada
Mount Pleasant Airport,Mount Pleasant,United States
Franklin County Airport,Mount Vernon,United States
Johnson County Airport,Mountain City,United States
Mountain Grove Memorial Airport,Mountain Grove,United States
Mountain View Wilcox Memorial Field,Mountain View,United States
Muara Badak Pujangan Airport,Muara Badak-Borneo Island,Indonesia
San Ignacio Airport,Mulegé,Mexico
Mulhouse-Habsheim Airfield,Mulhouse/Habsheim,France
Mulia Airport,Mulia-Papua Island,Indonesia
Munday Municipal Airport,Munday,United States
Murray-Calloway County Airport Kyle-Oakley Field,Murray,United States
Nagykanizsa Airfield,Nagykanizsa,Hungary
Brantley County Airport,Nahunta,United States
Napoleon Airport,Napoleon,United States
Nappanee Municipal Airport,Nappanee,United States
Narbonne Airfield,"Narbonne, Aude",France
Negril Airport,Negril,Jamaica
Neodesha Municipal Airport,Neodesha,United States
Cottbus-Neuhausen Airfield,Neuhausen/Spree,Germany
Neumünster Airport,Neumünster,Germany
County Memorial Airport,New Madrid,United States
Tampa Bay Executive Airport,New Port Richey,United States
Hidden Lake Airport,New Port Richey,United States
RAF Syerston,Newark,United Kingdom
Newton Airport,Newton,United States
James H Easom Field,Newton,United States
Nida Airfield,Nida,Lithuania
Nîmes Courbessac Airfield,Nîmes,France
Ninilchik Airport,Ninilchik,United States
Kzeiot Airport,Nitzana,Israel
Nocona Airport,Nocona,United States
Langeveld Glidersite,Noordwijk,Netherlands
Nördlingen Airfield,Nördlingen,Germany
Priest Lake Usfs Airport,Nordman,United States
Norrtälje Airfield,Norrtälje,Sweden
North Bass Island Airport,North Bass Island,United States
Dean Memorial Airport,North Haverhill,United States
RAF Coltishall,"Norwich, Norfolk",United Kingdom
Norðfjörður Airport,Norðfjörður,Iceland
Obermehler-Schlotheim Airfield,Nottertal-Heilinger Höhen,Germany
Langar Airfield,"Nottingham, Nottinghamshire",United Kingdom
Aeroclube Airport,Nova Iguaçu,Brazil
Brigadeiro Eduardo Gomes Airport,Nova Mutum,Brazil
Novo Horizonte Airport,Novo Horizonte,Brazil
Hopkins Field,Nucla,United States
Nuits-Saint-Georges Airfield,"Nuits-Saint-Georges, Côte-d'Or",France
Nyurba Airport,Nyurba,Russia
Allen Parish Airport,Oakdale,United States
Jumbolair-Greystone Airport,Ocala,United States
Leeward Air Ranch Airport,Ocala/Belleview,United States
J. Douglas Bake Memorial Airport,Oconto,United States
Očová Airfield,Očová,Slovakia
V.N.Milfontes,Odemira,Portugal
Oelwein Municipal Airport,Oelwein,United States
Oerlinghausen Airfield,Oerlinghausen,Germany
Blue Devil Centre Airfield,Offlaga (BS),Italy
Okaukuejo Airport,Okaukuejo,Namibia
Downtown Airpark,Oklahoma City,United States
Okolona Municipal Airport Richard Stovall Field,Okolona,United States
Aerodromo da Pedra da Broa,Oliveira de Frades,Portugal
Oliver Springs Inc Airport,Oliver Springs,United States
Olmué Airport,Olmué,Chile
Olsztyn-Dajtki Airfield,Olsztyn,Poland
North Omaha Airport,Omaha,United States
Omak Airport,Omak,United States
Orange City Municipal Airport,Orange City,United States
Orange Grove Naval Auxiliary Landing Field,Orange Grove,United States
Kopaida Dimitra Airfield,Orchomenos,Greece
Orinduik Airport,Orinduik,Guyana
Orly (Olooitikosh) Airport,Orly (Olooitikosh),Kenya
Orofino Municipal Airport,Orofino,United States
Orr Regional Airport,Orr,United States
Smith Field,Orton,Canada
Ostrów Wielkopolski Michałków Airfield,Ostrów Wielkopolski,Poland
Zlín Otrokovice Airfield,Otrokovice,Czech Republic
Jornalista Benedito Pimentel Airport,Ourinhos,Brazil
Outlook Airport,Outlook,Canada
Overberg Airport,Overberg,South Africa
Echo Bay Airport,Overton,United States
La Morgal Airfield,Oviedo,Spain
Ozark Franklin County Airport,Ozark,United States
Ozona Municipal Airport,Ozona,United States
Packwood Airport,Packwood,United States
Kruså-Padborg Airfield,Padborg,Denmark
Lisičji Jarak Airfield,Palilula,Serbia
Usina Catanduva Airport,Palmares Paulista,Brazil
Pista de Aguas de Moura,Palmela,Portugal
Herdade do Rio Frio Airstrip,Palmela,Portugal
Metropolitan Airport,Palmer,United States
Dallas South Port Airport,Palmer,United States
Palmer Station Airport,Palmer Station,Antarctica
Palmerston Airport,Palmerston,Canada
South Fulton Airport,Palmetto,United States
Soulac Sur Mer Airfield,Pamiers,France
Aeródromo da Pampilhosa da Serra,Pampilhosa da Serra,Portugal
Paraíso do Tocantins Airport,Paraíso Do Tocantins,Brazil
Parintins Airport,Parintins,Brazil
Henry County Airport,Paris,United States
Edgar County Airport,Paris,United States
Park Falls Municipal Airport,Park Falls,United States
Patos de Minas Airport,Patos de Minas,Brazil
Eastern Flying Club Airport,Pattaya (Bang Lamung),Thailand
Pavullo Airfield,Pavullo (MO),Italy
Spitfire Aerodrome,Pedricktown,United States
Pelican Airport,Pelican,Canada
Pelican Narrows Airport,Pelican Narrows,Canada
Sirena Airport,Península de Osa,Costa Rica
Pleasant Valley Airport,Peoria,United States
San Isidro del General Airport,Pérez Zeledón,Costa Rica
Petrel Airport,Petrel Base,Antarctica
Upavon Aerodrome,"Pewsey, Wiltshire",United Kingdom
Übersberg Airfield,Pfullingen,Germany
Mid-State Regional Airport,Philipsburg,United States
The Monument Airport,Phosphate Hill,Australia
Photharam Airport,Photharam,Thailand
Pierson Municipal Airport,Pierson,United States
Pigüé Airport,Pigüé,Argentina
McCreary County Airport,Pine Knot,United States
Pine Ridge Airport,Pine Ridge,United States
Pine River Regional Airport,Pine River,United States
Piotrków Trybunalski-Bujny Airfield,Piotrków Trybunalski,Poland
Pirassununga Airport,Pirassununga,Brazil
Piumhi Airport,Piumhi,Brazil
Yoakum County Airport,Plains,United States
Plains Airport,Plains,United States
Sher-Wood Airport,Plentywood,United States
Pocahontas Municipal Airport,Pocahontas,United States
SESC Pantanal Airport,Poconé,Brazil
Podhořany Airfield,Podhořany u Ronova,Czech Republic
Pofadder Airport,Pofadder,South Africa
Polacca Airport,Polacca,United States
Pongola Airport,Pongola,South Africa
Huhnrain Airfield,Poppenhausen,Germany
La Comina Airfield,Pordenone (PN),Italy
Porrentruy Airfield,Porrentruy,Switzerland
Port Alfred Airport,Port Alfred,South Africa
Port au Choix Airport,Port au Choix,Canada
Port Orchard Airport,Port Orchard,United States
Vaughan Ranch Airfield,Port Orchard,United States
Piper Road Airstrip,Portas do Capitão Mór,Portugal
Porters Lake Airport,Porters Lake,Canada
Portmoak Glider Field,Portmoak,United Kingdom
Outeiros da Brisas Airport,Porto Seguro,Brazil
Poznań-Kobylnica Airfield,Poznań,Poland
Prachatice Airfield,Prachatice,Czech Republic
Prado Airport,Prado,Brazil
Praia Verde Airstrip,Praia Verde,Portugal
Prešov Air Base,Prešov,Slovakia
Fillmore County Airport,Preston,United States
Přibyslav Airfield,Přibyslav,Czech Republic
Prijedor Urije Airfield,Prijedor,Bosnia and Herzegovina
Kyabram Airport,Private Airfield in the Shire of Campaspe,Australia
Mid America Industrial Airport,Pryor,United States
Cabo 1° Juan Román Airport,Puerto Aysen,Chile
Puerto Marín Balmaceda Airport,Puerto Marin Balmaceda,Chile
Pukapuka Island Airport,Pukapuka Atoll,Cook Islands
Abernathy Field,Pulaski,United States
Punta Cocos Airport,Punta Cocos,Panama
Chacarita Airport,Puntarenas,Costa Rica
Eferding Airfield,Pupping,Austria
Epitalion Airfield,Pyrgos,Greece
Płock Airfield,Płock,Poland
Qala-i-Naw Airport,Qala-i-Naw,Afghanistan
Qingdao Cangkou Air Base,Qingdao (Licang),China
Quanah Municipal Airport,Quanah,United States
Quilmes Airport,Quilmes,Argentina
Loma Roja Airport,Rafael Lara Grajales,Mexico
Aviosuperficie Eremo della Giubiliana,Ragusa,Italy
Rakvere Airfield,Rakvere,Estonia
Ranger Municipal Airport,Ranger,United States
Jackson County Airport,Ravenswood,United States
Ray Community Airport,Ray,United States
John Bell Williams Airport,Raymond,United States
Flying W Airport,Raymondville,United States
Tri-County Air Service Airport,Raywood,United States
Brimpton Airfield,"Reading, Berkshire",United Kingdom
Madonna di Loreto Airfield,Recanati,Italy
Rancho Tehama Airport,Red Bluff,United States
Red Cloud Municipal Airport,Red Cloud,United States
Red Dog Airport,Red Dog,United States
LTS Pulau Redang Airport,Redang,Malaysia
Redfield Municipal Airport,Redfield,United States
Big Bend Ranch State Park Airport,Redford,United States
North Pickens Airport,Reform,United States
Swinton Smith Field at Reidsville Municipal Airport,Reidsville,United States
Reivilo Airport,Reivilo,South Africa
Flying M Ranch Airport,Reklaw,United States
Sølenstua Airfield,Rendalen,Norway
Herten-Rheinfelden Airfield,Rheinfelden (Baden),Germany
St. Joseph Island Airport,Richards Landing,Canada
Riddell Airport,Riddell,Australia
Croix de Coeur Altiport,Riddes,Switzerland
Riesa-Göhlis Airport,Riesa,Germany
Spilve Aerodrome,Riga,Latvia
Mesnali Airfield,Ringsaker,Norway
Clube do Céu Airport,Rio de Janeiro,Brazil
Rio Grande Regional Airport,Rio Grande,Brazil
Rio Grande City Municipal Airport,Rio Grande City,United States
Río Negro Airport,Río Negro,Chile
Rishon Lezion Airfield,Rishon Lezion,Israel
Presidente General Don Oscar D. Gestido International Airport,Rivera,Uruguay
Roanoke Municipal Airport,Roanoke,United States
Halifax County Airport,Roanoke Rapids,United States
Robins Airstrip,Robins Camp,Zimbabwe
Heathrow Airport,Robinson,United States
Roblin Airport,Roblin,Canada
Rocanville Airport,Rocanville,Canada
Stoke Airfield,"Rochester, Kent",United Kingdom
Apache Pass Airport,Rockdale,United States
Maritsa Air Base,Rodes Island,Greece
Rolla Downtown Airport,Rolla,United States
Ronan Airport,Ronan,United States
Carmen (Rosales) Airstrip,Rosales,Philippines
Rosalia Municipal Airport,Rosalia,United States
Rosenort Airport,Rosenort,Canada
Rotenburg (Wümme) Airfield,Rotenburg (Wümme),Germany
Rottweil-Zepfenhan Airfield,Rottweil,Germany
Top Farm Airfield,"Royston, Cambridgeshire",United Kingdom
Ruhengeri Airport,Ruhengeri,Rwanda
Russellville Logan County Airport,Russellville,United States
Saffier Airport,Saffier,South Africa
Säffle Airfield,Säffle,Sweden
Saguache Municipal Airport,Saguache,United States
Oak Hammock Air Park,Saint Andrews,Canada
Saint George Airport,Saint George,United States
Cable Head Airpark,Saint Peters Bay,Canada
Dieppe-Saint-Aubin Airport,Saint-Aubin-sur-Scie,France
Saint-Valery-Vittefleur Airfield,Saint-Sylvain,France
Salangen Airfield Elvenes,Salangen,Norway
Salem Airport,Salem,United States
Salima Airport,Salima,Malawi
Netheravon Airfield,"Salisbury, Wiltshire",United Kingdom
Saint-Roch Mayères Altisurface,Sallanches,France
Sallisaw Municipal Airport,Sallisaw,United States
Flying B Ranch Landing Strip,Salmon,United States
Rognan Airfield,Saltdal,Norway
Salto Airport,Salto,Argentina
Samaná El Portillo Airport,Samana,Dominican Republic
Trout Lake Airport,Sambaa K'e,Canada
Twin-Oaks Airport,San Antonio,United States
San Augustine County Airport,San Augustine,United States
San Carlos Airport,San Carlos,Venezuela
Muñoz Landing Airstrip,San Quintín,Mexico
La Speziana Airfield,San Zenone al Po (PV),Italy
Kaolin Field,Sandersville,United States
Sandusky City Airport,Sandusky,United States
Mc Kinnon Airpark,Sandy,United States
Sankt Georgen-Ybbsfeld Airfield,Sankt Georgen am Ybbsfelde,Austria
Santa Bárbara de Barinas Airport,Santa Bárbara,Venezuela
Paradise Island Airport,Santa Carolina,Mozambique
Bantayan Airport,Santa Fe,Philippines
Fazenda Pontal Airport,Santa Fé de Goiás,Brazil
Fazenda Trêz Irmãos Airport,Santa Fé Do Sul,Brazil
Santa Isabel Airport,Santa Isabel,Puerto Rico
Herdade da Galega,Santa Margarida,Portugal
Los Cerrillos Airport,Santiago,Chile
São João da Boa Vista Municipal Airport,São João da Boa Vista,Brazil
Prefeito Octávio de Almeida Neves Airport,São João Del Rei,Brazil
São Joaquim da Barra Airport,São Joaquim Da Barra,Brazil
Fazenda Santa Inês Airport,São José Do Rio Preto,Brazil
São Mateus - Ernesto Bonomo Airport,São Mateus,Brazil
Ein Yahav Airfield,Sapir,Israel
Mararena Sarmi Airport,Sarmi,Indonesia
Sasnava Airfield,Sasnava,Lithuania
Sauk Centre Municipal Airport,Sauk Centre,United States
Saverne Steinbourg Airfield,Saverne,France
Schänis Airfield,Schänis,Switzerland
Winzeln-Schramberg Airfield,Schramberg,Germany
Schroon Lake Airport,Schroon Lake,United States
Hornberg Airfield,Schwäbisch Gmünd,Germany
Schweizer Reneke Airport,Schweizer Reneke,South Africa
The Green Trees Ranch Airport,Scio,United States
Scobey Airport,Scobey,United States
Sea Lion Lodge Airstrip,Sea Lion Island,Falkland Islands
Seba Airport,Seba,Botswana
Sebewaing Township Airport,Sebewaing,United States
Hakimpet Airport,Secunderabad,India
Sedes Air Base,Sedes,Greece
Seeley Lake Airport,Seeley Lake,United States
Elm Creek Airpark,Seguin,United States
Breighton Airfield,"Selby, North Yorkshire",United Kingdom
Burn Airfield,"Selby, North Yorkshire",United Kingdom
Selfoss Airport,Selfoss,Iceland
Selkirk Airport,Selkirk,Canada
Gaines County Airport,Seminole,United States
Sudjarwo Tjondronegoro Airport,Serui,Indonesia
El Owainat East International Airport,Sharq El Owainat,Egypt
Shediac Bridge Airport,Shediac Bridge,Canada
Meppershall Airfield,"Shefford, Bedfordshire",United Kingdom
Turkey Mountain Airport,Shell Knob,United States
Unst Airport,Shetland Islands,United Kingdom
Sidi Slimane Airport,Sidi Slimane,Morocco
Silver Lake F S Strip,Silver Lake,United States
Simcoe (Dennison Field) Airport,Simcoe,Canada
Bacubirito Airport,Sinaloa de Leyva,Mexico
Sindeni Airstrip,Sindeni,Papua New Guinea
Sioux Narrows Airport,Sioux Narrows,Canada
Charlie Bravo Șiria Airfield,Șiria,Romania
Sisseton Municipal Airport,Sisseton,United States
Skegness (Ingoldmells) Aerodrome,"Skegness, Lincolnshire",United Kingdom
Ski Airfield,Ski,Norway
Skuteč Airfield,Skuteč,Czech Republic
Smålandsstenar Smålanda Airfield,Smålandsstenar,Sweden
Grobničko Polje Airfield,Soboli,Croatia
Allen H Tigert Airport,Soda Springs,United States
Soldier Bar US Forest Service Airport,Soldier Bar,United States
Bangerter Field,Soldotna,United States
