name,city,country
Syracuse Hancock International Airport,Syracuse,United States
Larnaca International Airport,Larnaca,Cyprus
Antalya International Airport,Antalya,Turkey
Gerald R. Ford International Airport,Grand Rapids,United States
Tenerife Sur Airport,Tenerife,Spain
Faro Airport,Faro,Portugal
Brussels South Charleroi Airport,Charleroi,Belgium
Des Moines International Airport,Des Moines,United States
Wittman Regional Airport,Oshkosh,United States
Wichita Eisenhower National Airport,Wichita,United States
Belgrade Nikola Tesla Airport,Belgrade,Serbia
Jomo Kenyatta International Airport,Nairobi,Kenya
Frederick Douglass Greater Rochester International Airport,Rochester,United States
James M Cox Dayton International Airport,Dayton,United States
Alicante-Elche Miguel Hernández Airport,Alicante,Spain
Tulsa International Airport,Tulsa,United States
Bologna Guglielmo Marconi Airport,Bologna,Italy
Menara Airport,Marrakech,Morocco
Portland International Jetport,Portland,United States
Dubrovnik Ruđer Bošković Airport,Čilipi,Croatia
City of Colorado Springs Municipal Airport,Colorado Springs,United States
Dane County Regional Truax Field,Madison,United States
Spokane International Airport,Spokane,United States
Bill & Hillary Clinton National Airport/Adams Field,Little Rock,United States
El Dorado International Airport,Bogota,Colombia
Marseille Provence Airport,"Marignane, Bouches-du-Rhône",France
Punta Cana International Airport,Punta Cana,Dominican Republic
Zagreb Franjo Tuđman International Airport,Velika Gorica,Croatia
Manchester-Boston Regional Airport,Manchester,United States
Lynden Pindling International Airport,Nassau,Bahamas
Quebec Jean Lesage International Airport,Quebec,Canada
İstanbul Airport,"Arnavutköy, Istanbul",Turkey
Burlington International Airport,South Burlington,United States
Christchurch International Airport,Christchurch,New Zealand
Göteborg Landvetter Airport,Göteborg,Sweden
Naples International Airport,Napoli,Italy
McGhee Tyson Airport,Alcoa,United States
Perth International Airport,Perth,Australia
Toulouse-Blagnac Airport,Toulouse/Blagnac,France
Domodedovo International Airport,Moscow,Russia
Istanbul Sabiha Gökçen International Airport,"Pendik, Istanbul",Turkey
EuroAirport Basel-Mulhouse-Freiburg,Saint-Louis,France
Cairns International Airport,Cairns,Australia
Palm Springs International Airport,Palm Springs,United States
Noi Bai International Airport,Hanoi (Soc Son),Vietnam
Puerto Vallarta International Airport,Puerto Vallarta,Mexico
Shannon Airport,Shannon,Ireland
José Martí International Airport,Havana,Cuba
Lennart Meri Tallinn Airport,Tallinn,Estonia
Lihue Airport,Lihue,United States
Greenville Spartanburg International Airport,Greer,United States
Santa Barbara Municipal Airport,Santa Barbara,United States
Key West International Airport,Key West,United States
Victoria International Airport,Victoria,Canada
Valencia Airport,Valencia,Spain
Eindhoven Airport,Eindhoven,Netherlands
Pisa International Airport,Pisa (PI),Italy
Blue Grass Airport,Lexington,United States
Pulkovo Airport,St. Petersburg,Russia
Piedmont Triad International Airport,Greensboro,United States
Luxembourg-Findel International Airport,Luxembourg,Luxembourg
Mohammed V International Airport,Casablanca,Morocco
Sofia Airport,Sofia,Bulgaria
Bristol Airport,Bristol,United Kingdom
Sevilla Airport,Sevilla,Spain
Sangster International Airport,Montego Bay,Jamaica
Pensacola International Airport,Pensacola,United States
Lyon Saint-Exupéry Airport,"Colombier-Saugnieu, Rhône",France
Alejandro Velasco Astete International Airport,Cusco,Peru
Sarasota Bradenton International Airport,Sarasota/Bradenton,United States
Tallahassee Regional Airport,Tallahassee,United States
London Airport,London,Canada
Rapid City Regional Airport,Rapid City,United States
Salzburg Airport,Salzburg,Austria
Boeing Field King County International Airport,Seattle,United States
Queen Alia International Airport,Amman,Jordan
Nuremberg Airport,Nuremberg,Germany
Bandaranaike International Colombo Airport,Colombo,Sri Lanka
Frankfurt-Hahn Airport,Frankfurt am Main (Lautzenhausen),Germany
Split Airport,Kaštel Štafilić,Croatia
Teterboro Airport,Teterboro,United States
Boryspil International Airport,Boryspil,Ukraine
Ljubljana Jože Pučnik Airport,Zgornji Brnik,Slovenia
Asheville Regional Airport,Asheville,United States
Liverpool John Lennon Airport,Liverpool,United Kingdom
Guangzhou Baiyun International Airport,Guangzhou (Huadu),China
Muscat International Airport,Muscat,Oman
Girona-Costa Brava Airport,Girona,Spain
Monterey Peninsula Airport,Monterey,United States
Chennai International Airport,Chennai,India
Chiang Mai International Airport,Chiang Mai,Thailand
Shanghai Hongqiao International Airport,Shanghai (Minhang),China
Daytona Beach International Airport,Daytona Beach,United States
John C. Munro Hamilton International Airport,Hamilton,Canada
Tunis Carthage International Airport,Tunis,Tunisia
Vilnius International Airport,Vilnius,Lithuania
Los Cabos International Airport,San José del Cabo,Mexico
St. Petersburg Clearwater International Airport,Pinellas Park,United States
Belfast International Airport,Belfast,United Kingdom
Orlando Sanford International Airport,Orlando,United States
Berlin Brandenburg Airport,Berlin,Germany
Ibiza Airport,Ibiza (Eivissa),Spain
Thessaloniki Macedonia International Airport,Thessaloniki,Greece
Jorge Newbery Airpark,Buenos Aires,Argentina
Akron Canton Regional Airport,Akron,United States
Bangor International Airport,Bangor,United States
Newcastle International Airport,"Newcastle upon Tyne, Tyne and Wear",United Kingdom
